Rest_name,Rest_ratings,Rest_noreviews,Rest_price,Rest_cuisine,Rest_add,Rest_tel,Rest_nbh,Rating,Price,Cuisine,Street_add,neighbourhood_,neighbourhood,neighbourhood_good
Khmer Thai Restaurant,4 star rating,132,$$,Thai,1018 St Clair Avenue W,(416) 654-0609,,4.0,2,Asian,St Clair Avenue W,Corso Italia,1,Corso Italia
Budapest Restaurant,4.5 star rating,57,$$,Hungarian,1959 Gerrard Street E,(647) 347-5047,Upper Beach,4.5,2,European,Gerrard Street E,,Upper Beach,Upper Beach
Tibet Kitchen,4.5 star rating,243,$$,Himalayan/Nepalese,1544 Queen Street W,(416) 913-8726,Parkdale,4.5,2,Asian,Queen Street W,,Parkdale,Parkdale
Oddseoul,4 star rating,306,$$,Korean,90 Ossington Avenue,(647) 346-8151,Ossington Strip,4.0,2,Asian,Ossington Avenue,,Ossington Strip,Ossington Strip
Antler Kitchen & Bar,4.5 star rating,255,$$$,Canadian (New),1454 Dundas Street West,(647) 345-8300,Little Portugal,4.5,3,American,Dundas Street West,,Little Portugal,Little Portugal
The Oxley,4 star rating,139,$$,Gastropubs,121 Yorkville Avenue,(647) 348-1300,Yorkville,4.0,2,American,Yorkville Avenue,,Yorkville,Yorkville
Boonsik,4 star rating,5,None,Korean,50C Clinton Street,(416) 551-1550,Bickford Park,4.0,0,Asian,Clinton Street,,Bickford Park,Bickford Park
Her Father’s Cider Bar & Kitchen,4.5 star rating,154,$$,Gastropubs,119 Harbord Street,(647) 347-7747,,4.5,2,American,Harbord Street,Entertainment District,1,Entertainment District
Himalayan Kitchen,4.5 star rating,112,$$,Indian,1526 Queen Street W,(416) 536-4138,Parkdale,4.5,2,Asian,Queen Street W,,Parkdale,Parkdale
Pantheon Restaurant,4 star rating,303,$$,Greek,407 Danforth Avenue,(416) 778-1929,Greektown,4.0,2,European,Danforth Avenue,,Greektown,Greektown
Koh Lipe Thai Kitchen,4 star rating,176,$$,Thai,35 Baldwin Street,(416) 599-9988,Downtown Core,4.0,2,Asian,Baldwin Street,,Downtown Core,Downtown Core
Ramen Isshin,4.5 star rating,699,$$,Ramen,421 College Street,(416) 367-4013,Kensington Market,4.5,2,Asian,College Street,Downtown,Kensington Market,Kensington Market
Chica’s Nashville Hot Chicken,4.5 star rating,93,$$,Chicken Shop,2853 Dundas Street W,(647) 343-6562,The Junction,4.5,2,American,Dundas Street W,,The Junction,The Junction
Buca,4 star rating,420,$$$,Italian,604 King Street W,(416) 865-1600,,4.0,3,European,King Street W,Entertainment District,1,Entertainment District
Adamson Barbecue,4.5 star rating,315,$$,Barbeque,176 Wicksteed Avenue,(647) 559-2080,,4.5,2,American,Wicksteed Avenue,,1,
Lee Restaurant,4 star rating,627,$$$,Asian Fusion,601 King Street W,(416) 504-7867,,4.0,3,Asian,King Street W,Entertainment District,1,Entertainment District
Pinky’s Ca Phe,4 star rating,147,$$,Vietnamese,53 Clinton Street,53 Clinton Street,Palmerston,4.0,2,Asian,Clinton Street,,Palmerston,Palmerston
Pho Tien Thanh,4 star rating,396,$,Vietnamese,57 Ossington Avenue,(416) 588-6997,Ossington Strip,4.0,1,Asian,Ossington Avenue,,Ossington Strip,Ossington Strip
Cherry Street Bar-B-Que,4 star rating,154,$$,Barbeque,275 Cherry Street,(416) 461-5111,,4.0,2,American,Cherry Street,,1,
Famiglia Baldassarre,4.5 star rating,48,$$,Italian,122 Geary Avenue,(647) 293-5395,,4.5,2,European,Geary Avenue,,1,
Moliceiro Restaurant,4.5 star rating,64,$$,Portuguese,217 Ossington Avenue,(647) 345-3019,Ossington Strip,4.5,2,European,Ossington Avenue,,Ossington Strip,Ossington Strip
The Stockyards,4 star rating,719,$$,American (Traditional),699 St. Clair Avenue W,(416) 658-9666,Wychwood,4.0,2,American,St. Clair Avenue W,,Wychwood,Wychwood
Mi Tierra Restaurant,4 star rating,36,$$,Latin American,828 Street  Clair Ave W,(416) 654-8886,,4.0,2,American,Street  Clair Ave W,,1,
Mildred’s Temple Kitchen,4 star rating,892,$$,Breakfast & Brunch,85 Hanna Avenue,(416) 588-5695,Liberty Village,4.0,2,American,Hanna Avenue,,Liberty Village,Liberty Village
Okonomi House Restaurant,4 star rating,269,$,Japanese,23 Charles Street W,(416) 925-6176,Downtown Core,4.0,1,Asian,Charles Street W,,Downtown Core,Downtown Core
Bar Isabel,4 star rating,415,$$$,Spanish,797 College Street,(416) 532-2222,Bickford Park,4.0,3,European,College Street,Downtown,Bickford Park,Bickford Park
STACK,4 star rating,278,$$,Barbeque,3265 Yonge Street,(647) 346-1416,,4.0,2,American,Yonge Street,,1,
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
I’ll Be Seeing You,5 star rating,49,$$,Cocktail Bars,747 Queen Street E,747 Queen Street E,Riverdale,5.0,2,American,Queen Street E,,Riverdale,Riverdale
Trattoria Nervosa,4 star rating,333,$$,Italian,75 Yorkville Avenue,(416) 961-4642,Yorkville,4.0,2,European,Yorkville Avenue,,Yorkville,Yorkville
Mi Tierra Restaurant,4 star rating,36,$$,Latin American,828 Street  Clair Ave W,(416) 654-8886,,4.0,2,American,Street  Clair Ave W,,1,
Playa Cabana,4 star rating,429,$$,Mexican,111 Dupont Street,(416) 929-3911,The Annex,4.0,2,Mexican,Dupont Street,,The Annex,The Annex
Aloette,4.5 star rating,228,$$$,French,163 Spadina Avenue,(416) 260-3444,Queen Street West,4.5,3,European,Spadina Avenue,,Queen Street West,Queen Street West
The Hole In the Wall,4.5 star rating,153,$$,Pubs,2867 Dundas Street W,(647) 350-3564,The Junction,4.5,2,American,Dundas Street W,,The Junction,The Junction
Pomegranate Restaurant,4 star rating,185,$$,Middle Eastern,420 College Street,(416) 921-7557,,4.0,2,Middle Eastern,College Street,Downtown,1,Downtown
Islas Filipino BBQ and Bar,4.5 star rating,61,None,Filipino,1690 Queen Street W,(416) 533-0777,Parkdale,4.5,0,Asian,Queen Street W,,Parkdale,Parkdale
Hanmoto,4 star rating,207,$$,Japanese,2 Lakeview Avenue,2 Lakeview Avenue,Little Portugal,4.0,2,Asian,Lakeview Avenue,,Little Portugal,Little Portugal
EAT BKK Thai Kitchen & Bar,4.5 star rating,209,$$,Thai,6307 Yonge Street,(647) 350-9336,,4.5,2,Asian,Yonge Street,,1,
Tabule Middle Eastern Cuisine,4 star rating,183,$$,Middle Eastern,810 Queen Street  E,(416) 465-2500,Riverdale,4.0,2,Middle Eastern,Queen Street  E,,Riverdale,Riverdale
Yin Ji Chang Fen,3.5 star rating,8,None,Chinese,369 Spadina Ave,369 Spadina Ave,Chinatown,3.5,0,Asian,Spadina Ave,,Chinatown,Chinatown
Sugo,4.5 star rating,170,$$,Italian,1279 Bloor Street  W,(416) 535-1717,Bloordale Village,4.5,2,European,Bloor Street  W,,Bloordale Village,Bloordale Village
La Bella Managua,4.5 star rating,222,$$,Latin American,872 Bloor Street W,(647) 846-8831,Christie Pits,4.5,2,American,Bloor Street W,,Christie Pits,Christie Pits
Aanch Modernistic Indian Cuisine,4.5 star rating,157,$$,Indian,259 Wellington St W,(647) 558-1508,Entertainment District,4.5,2,Asian,Wellington St W,,Entertainment District,Entertainment District
Korean Village Restaurant,4 star rating,331,$$,Korean,628 Bloor Street W,(416) 536-0290,Koreatown,4.0,2,Asian,Bloor Street W,,Koreatown,Koreatown
The House On Parliament,4 star rating,290,$$,British,454 Parliament Street,(416) 925-4074,,4.0,2,European,Parliament Street,,1,
Swatow Restaurant,4 star rating,394,$$,Chinese,309 Spadina Avenue,(416) 977-0601,Chinatown,4.0,2,Asian,Spadina Avenue,,Chinatown,Chinatown
Momo Hut & Gardens,4.5 star rating,81,$$,Himalayan/Nepalese,401 Danforth Avenue,(416) 363-8580,Greektown,4.5,2,Asian,Danforth Avenue,,Greektown,Greektown
Si Lom Thai Bistro,4 star rating,163,$$,Thai,534 Church Street,(416) 515-0888,Church-Wellesley Village,4.0,2,Asian,Church Street,,Church-Wellesley Village,Church-Wellesley Village
The MoMo House,4.5 star rating,20,None,Dumplings,1422 Queen Street W,(416) 588-8887,Parkdale,4.5,0,Asian,Queen Street W,,Parkdale,Parkdale
Beerbistro,4 star rating,642,$$,Bistros,18 King Street E,(416) 861-9872,Downtown Core,4.0,2,American,King Street E,,Downtown Core,Downtown Core
Sala Modern Thai Kitchen & Bar,4.5 star rating,145,$$,Thai,1262 Danforth Avenue,(416) 405-9999,The Danforth,4.5,2,Asian,Danforth Avenue,,The Danforth,The Danforth
Wvrst,4 star rating,790,$$,German,609 King Street W,(416) 703-7775,,4.0,2,European,King Street W,Entertainment District,1,Entertainment District
Tokyo Hot Fried Chicken,4 star rating,18,None,Food Trucks,None,Serving Toronto and the Surrounding Area,None,4.0,0,American,,,None,None
Isaan Der,4 star rating,82,$$,Thai,2961 Dundas Street W,(416) 604-0062,The Junction,4.0,2,Asian,Dundas Street W,,The Junction,The Junction
Mezes,4 star rating,205,$$,Greek,456 Danforth Avenue,(416) 778-5150,Greektown,4.0,2,European,Danforth Avenue,,Greektown,Greektown
Campechano Taquería,4 star rating,157,$$,Mexican,504 Adelaide Street W,(416) 777-2800,,4.0,2,Mexican,Adelaide Street W,Financial District,1,Financial District
Mogouyan,4 star rating,41,$$,Noodles,760 Yonge St,760 Yonge St,Yorkville,4.0,2,Asian,Yonge St,,Yorkville,Yorkville
Nodo Restaurant,4 star rating,172,$$,Italian,2885 Dundas Street West,(416) 901-1559,The Junction,4.0,2,European,Dundas Street West,,The Junction,The Junction
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
El Venezolano,4.5 star rating,17,None,Venezuelan,818 Danforth Ave,(647) 703-4107,Greektown,4.5,0,South American,Danforth Ave,,Greektown,Greektown
North Of Brooklyn,4.5 star rating,23,None,Pizza,229 Geary Avenue,(647) 929-9500,,4.5,0,American,Geary Avenue,,1,
Daldongnae,4 star rating,276,$$,Korean,6034 Yonge Street,(416) 226-6034,,4.0,2,Asian,Yonge Street,,1,
Tabule Restaurant,4 star rating,253,$$,Middle Eastern,2009 Yonge Street,(416) 483-3747,Mount Pleasant and Davisville,4.0,2,Middle Eastern,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Nodo Restaurant,4.5 star rating,50,$$,Italian,794 Saint Clair Avenue W,(647) 748-1559,,4.5,2,European,Saint Clair Avenue W,Wychwood,1,Wychwood
Cumin Kitchen - Fine Indian Cuisine,4.5 star rating,43,None,Indian,1820 Danforth Avenue,(647) 748-5522,The Danforth,4.5,0,Asian,Danforth Avenue,,The Danforth,The Danforth
SugarKane,4.5 star rating,14,None,Caribbean,699 Danforth Avenue,(416) 469-0808,Greektown,4.5,0,Carribean,Danforth Avenue,,Greektown,Greektown
Imm Thai Kitchen,4.5 star rating,102,$$,Thai,651 College Street,(416) 532-6888,Little Italy,4.5,2,Asian,College Street,Downtown,Little Italy,Little Italy
Kovalsky Restaurant,4.5 star rating,57,$$,Polish,667 The Queensway,(416) 201-6999,Etobicoke,4.5,2,European,The Queensway,,Etobicoke,Etobicoke
Jin Dal Lae,4.5 star rating,73,$$,Korean,647 Bloor Street W,(416) 530-6974,Koreatown,4.5,2,Asian,Bloor Street W,,Koreatown,Koreatown
Onnki Donburi,4 star rating,161,$$,Japanese,40 Hayden Street,40 Hayden Street,Church-Wellesley Village,4.0,2,Asian,Hayden Street,,Church-Wellesley Village,Church-Wellesley Village
Carmen,4 star rating,152,$$$,Spanish,922 Queen Street W,(416) 535-0404,West Queen West,4.0,3,European,Queen Street W,,West Queen West,West Queen West
Lao Thai Restaurant,4 star rating,74,$$,Thai,4 Gladstone Avenue,(416) 855-2028,Beaconsfield Village,4.0,2,Asian,Gladstone Avenue,,Beaconsfield Village,Beaconsfield Village
Tokyo Kitchen,4 star rating,137,$$,Japanese,20 Charles Street E,(416) 968-9889,Church-Wellesley Village,4.0,2,Asian,Charles Street E,,Church-Wellesley Village,Church-Wellesley Village
Manpuku Japanese Eatery,4 star rating,470,$,Japanese,105 McCaul Street,(416) 979-6763,Downtown Core,4.0,1,Asian,McCaul Street,,Downtown Core,Downtown Core
Patria,4 star rating,477,$$$,Spanish,480 King Street W,(416) 367-0505,,4.0,3,European,King Street W,Entertainment District,1,Entertainment District
Nuit Social,4.5 star rating,208,$$,Cocktail Bars,1168 Queen Street W,(647) 350-6848,Beaconsfield Village,4.5,2,American,Queen Street W,,Beaconsfield Village,Beaconsfield Village
Raku,4 star rating,213,$$,Japanese,456 Queen St W,(416) 546-9325,Alexandra Park,4.0,2,Asian,Queen St W,,Alexandra Park,Alexandra Park
BuaBua Thai,4 star rating,34,$$,Thai,1677 Bayview Avenue,(416) 322-8828,Mount Pleasant and Davisville,4.0,2,Asian,Bayview Avenue,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
La Paella,4 star rating,29,None,Spanish,1146 Queen Street E,(416) 546-1055,Leslieville,4.0,0,European,Queen Street E,,Leslieville,Leslieville
Maiz,4 star rating,64,$$,Latin American,3220 Yonge Street,(647) 341-8555,,4.0,2,American,Yonge Street,,1,
DaiLo,4 star rating,272,$$$,Chinese,503 College Street,(647) 341-8882,Little Italy,4.0,3,Asian,College Street,Downtown,Little Italy,Little Italy
Jollibee,3.5 star rating,269,$$,Filipino,15 William Kitchen Road,(647) 953-1100,Scarborough,3.5,2,Asian,William Kitchen Road,,Scarborough,Scarborough
Fat Pasha,4 star rating,187,$$$,Middle Eastern,414 Dupont Street,(647) 340-6142,The Annex,4.0,3,Middle Eastern,Dupont Street,,The Annex,The Annex
Parallel,4 star rating,67,$$,Mediterranean,217 Geary Avenue,(416) 516-7765,,4.0,2,Middle Eastern,Geary Avenue,,1,
Yupdduk Bloor,4 star rating,21,None,Korean,612 Bloor Street W,(416) 732-7989,Koreatown,4.0,0,Asian,Bloor Street W,,Koreatown,Koreatown
Zeal Burgers,5 star rating,115,$$,Burgers,1926 Weston Road,(647) 352-3933,,5.0,2,American,Weston Road,North York,1,North York
Mayrik,4.5 star rating,56,$$$,Mediterranean,1580 Bayview Avenue,(416) 483-0922,Mount Pleasant and Davisville,4.5,3,Middle Eastern,Bayview Avenue,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
The Hogtown Vegan,4 star rating,402,$$,Vegan,1056 Bloor St. W,(416) 901-9779,Dovercourt,4.0,2,American,Bloor St. W,,Dovercourt,Dovercourt
El Catrin Destileria,3.5 star rating,904,$$$,Mexican,18 Tank House Lane,(416) 203-2121,Distillery District,3.5,3,Mexican,Tank House Lane,,Distillery District,Distillery District
Panera Bread,3 star rating,82,$$,Soup,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Casa Fuego,4.5 star rating,32,None,Steakhouses,230 Adelaide Street West,(647) 748-3210,Entertainment District,4.5,0,American,Adelaide Street West,,Entertainment District,Entertainment District
Rio 40 Restaurant,4 star rating,51,$$,Brazilian,1256 Saint Clair Avenue West,(416) 654-6363,Corso Italia,4.0,2,South American,Saint Clair Avenue West,,Corso Italia,Corso Italia
Daldongnae,4.5 star rating,22,$$$,Korean,658 Bloor Street,(416) 901-2820,Koreatown,4.5,3,Asian,Bloor Street,,Koreatown,Koreatown
Koricancha Restaurant,4.5 star rating,18,$$,Peruvian,1885 Eglinton Avenue W,(647) 347-0584,,4.5,2,European,Eglinton Avenue W,York,1,York
Té,4 star rating,95,$$,Taiwanese,70 Ossington Avenue,(647) 348-8009,Ossington Strip,4.0,2,Asian,Ossington Avenue,,Ossington Strip,Ossington Strip
Tacos El Asador,4 star rating,287,$,Mexican,689 Bloor Street W,(416) 538-9747,Koreatown,4.0,1,Mexican,Bloor Street W,,Koreatown,Koreatown
Omai Restaurant,4 star rating,93,$$,Japanese,3 Baldwin Street,(647) 341-7766,Downtown Core,4.0,2,Asian,Baldwin Street,,Downtown Core,Downtown Core
Café Polonez,4.5 star rating,244,$$,Polish,195 Roncesvalles Avenue,(416) 532-8432,Roncesvalles,4.5,2,European,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Yummy Korean Food Restaurant,4 star rating,240,$,Korean,620 Bloor Street W,(647) 345-6588,Koreatown,4.0,1,Asian,Bloor Street W,,Koreatown,Koreatown
The Irv Gastro Pub,4.5 star rating,114,$$,Burgers,195 Carlton Street,(647) 350-4787,,4.5,2,American,Carlton Street,Cabbage Town,1,Cabbage Town
Esto Es Colombia,5 star rating,3,None,Colombian,2848 Dufferin Street,2848 Dufferin Street,,5.0,0,South American,Dufferin Street,Downtown Core,1,Downtown Core
Maison Selby,4 star rating,65,None,French,592 Sherbourne Street,(647) 943-1676,,4.0,0,European,Sherbourne Street,,1,
Madrina Bar y Tapas,4 star rating,86,$$,Tapas Bars,2 Trinity Street,(416) 548-8055,Distillery District,4.0,2,American,Trinity Street,,Distillery District,Distillery District
Mamakas Taverna,4 star rating,185,$$$,Greek,80 Ossington Avenue,(416) 519-5996,Ossington Strip,4.0,3,European,Ossington Avenue,,Ossington Strip,Ossington Strip
La Cubana,3.5 star rating,213,$$,Cuban,392 Roncesvalles Avenue,(416) 538-7500,Roncesvalles,3.5,2,South American,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
El Nahual Tacos,4.5 star rating,117,$,Mexican,384 Bloor street west,(416) 901-2988,The Annex,4.5,1,Mexican,Bloor street west,,The Annex,The Annex
Pearl Diver,4 star rating,573,$$,Seafood,100 Adelaide Street E,(647) 699-0167,Corktown,4.0,2,American,Adelaide Street E,,Corktown,Corktown
Ikkousha Ramen,4.5 star rating,207,$$,Ramen,249 Queen Street W,(416) 901-2249,Queen Street West,4.5,2,Asian,Queen Street W,,Queen Street West,Queen Street West
Lee Chen Asian Bistro,4 star rating,169,$$,Dim Sum,214 King Street W,(416) 519-8688,Entertainment District,4.0,2,Asian,King Street W,Entertainment District,Entertainment District,Entertainment District
Little Sister,3.5 star rating,189,$$,Indonesian,2031 Yonge Street,(416) 488-2031,Mount Pleasant and Davisville,3.5,2,Asian,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Hanyang Jokbal,4 star rating,21,$$,Korean,6016 Yonge Street,6016 Yonge Street,,4.0,2,Asian,Yonge Street,,1,
Bobbie Sue’s Mac & Cheese,4 star rating,121,$,Comfort Food,162 Ossington Avenue,(647) 352-2762,Ossington Strip,4.0,1,Other,Ossington Avenue,,Ossington Strip,Ossington Strip
Miku,4 star rating,770,$$$,Japanese,105-10 Bay Street,(647) 347-7347,Harbourfront,4.0,3,Asian,Bay Street,,Harbourfront,Harbourfront
Joso’s,4.5 star rating,151,$$$,Seafood,202 Davenport Road,(416) 925-1903,Yorkville,4.5,3,American,Davenport Road,,Yorkville,Yorkville
Sukho Thai,3.5 star rating,479,$$,Thai,52 Wellington Street E,(647) 351-4612,St. Lawrence,3.5,2,Asian,Wellington Street E,,St. Lawrence,St. Lawrence
King Taps,4 star rating,290,$$,Canadian (New),None,(647) 361-2025,Financial District,4.0,2,American,,,Financial District,Financial District
Seor Ak San,4 star rating,291,$$,Korean,357 Spadina Avenue,(416) 977-2788,Chinatown,4.0,2,Asian,Spadina Avenue,,Chinatown,Chinatown
Cafe Landwer,4 star rating,313,$$,Cafes,165 University Avenue,(647) 748-1165,Financial District,4.0,2,American,University Avenue,,Financial District,Financial District
Buk Chang Dong Soon Tofu,4 star rating,447,$$,Korean,691 Bloor Street W,(416) 537-0972,Koreatown,4.0,2,Asian,Bloor Street W,,Koreatown,Koreatown
Queen of Persia,4.5 star rating,34,$$$,Persian/Iranian,672A St Clair Avenue W,(416) 651-5500,,4.5,3,Middle Eastern,St Clair Avenue W,Corso Italia,1,Corso Italia
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Nom Nom Nom Poutine,4.5 star rating,107,$,Poutineries,707 Dundas Street W,(647) 636-0707,Alexandra Park,4.5,1,American,Dundas Street W,,Alexandra Park,Alexandra Park
Barberian’s Steak House,4 star rating,272,$$$,Steakhouses,7 Elm Street,(416) 597-0335,Downtown Core,4.0,3,American,Elm Street,,Downtown Core,Downtown Core
Chris Jerk Caribbean Bistro,4.5 star rating,328,$$,Caribbean,2570 Birchmount Road,(416) 297-5375,Scarborough,4.5,2,Carribean,Birchmount Road,,Scarborough,Scarborough
Ooshee Mediterranean Oven,5 star rating,18,None,Lebanese,9 Charles Street W,9 Charles Street W,Downtown Core,5.0,0,Middle Eastern,Charles Street W,,Downtown Core,Downtown Core
CRU,4 star rating,32,None,Canadian (New),100 Yonge Street,(416) 901-0211,Downtown Core,4.0,0,American,Yonge Street,,Downtown Core,Downtown Core
Trattoria Taverniti,4 star rating,142,$$,Italian,591 College Street,(416) 537-0078,Little Italy,4.0,2,European,College Street,Downtown,Little Italy,Little Italy
Leela Indian Food Bar,4.5 star rating,80,$$,Indian,3108 Dundas Street W,(416) 769-7777,The Junction,4.5,2,Asian,Dundas Street W,,The Junction,The Junction
Zezafoun Syrian Cuisine,4.5 star rating,84,$$,Syrian,4 Manor Road E,(416) 322-7707,Mount Pleasant and Davisville,4.5,2,Middle Eastern,Manor Road E,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Indian Roti House,4 star rating,197,$$,Indian,256 Queens Quay W,(416) 260-6666,Harbourfront,4.0,2,Asian,Queens Quay W,,Harbourfront,Harbourfront
Sea Witch Fish and Chips,4 star rating,115,$$,Fish & Chips,636 Saint Clair Avenue W,(647) 349-4824,,4.0,2,American,Saint Clair Avenue W,Wychwood,1,Wychwood
Pho Linh,4 star rating,216,$,Vietnamese,1156 College Street W,(647) 846-8578,Brockton Village,4.0,1,Asian,College Street W,,Brockton Village,Brockton Village
